ID;Nombre;Precio impuestos incluidos;ID regla de impuestos;En oferta (0/1);Valor del descuento;Porcentaje de descuento;Descuento desde (aaaa-mm-dd);Descuento hasta (aaaa-mm-dd);Referencia nº;N° de referencia proveedor;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Cantidad;Cantidad mínima;Nivel de stock bajo;Envíame un mensaje de correo electrónico cuando la cantidad esté por debajo de este nivel;Visible en;Coste adicional del envío;Unidad para el precio unitario;Resumen;Descripción;Etiquetas (x,y,z...);Meta-título;Meta keywords;Meta descripción;URL reescrita;Disponible para pedidos (0 = No, 1 = Si);Fecha de disponibilidad del producto;Fecha de creación del producto;URL's de las imágenes (x,y,z...);Textos alternativos de imagen (x,y,z...);Elimine las imágenes existentes (0 = No, 1 = Si);Característica (Nombre:Valor:Posición:Personalizado);Estado;Destacado;
;Afeitadora rotativa philips s7310/12 sec/hum 50m/1h trimmer estuche 100-240v;1326000;1;0;;;;;EDPCPAS731012-RT;;PHILIPS;;;;15,60;15,60;15,60;0,76;0;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPAS731012-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:15,6  CM&Alto:23,1  CM&Largo:8,4  CM&Peso:455  GR;;;
;no facturarmixer philips walita ri1604/00 plastico 1v c/vaso 250w220v;231000;1;0;;;;;EDPBMRI160400;;PHILIPS;;;;11,50;11,50;11,50;1,08;0;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPBMRI160400.jpg;;;Marca:PHILIPS&Producto:BATIDORAS&Segmento:PEQUE�OS ELECTRODOMESTICOS&Vendedor:Sara Comercial&Ancho:11,5  CM&Alto:17  CM&Largo:22  CM&Peso:818  GR;;;
;Afeitadora corporal philips bg105/11 sistema protec skin 1 peine pila aa;181000;1;0;;;;;EDPCPBG10511-RT;;PHILIPS;;;;10,00;10,00;10,00;0,21;0;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPBG10511-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:10  CM&Alto:20  CM&Largo:4,2  CM&Peso:162  GR;;;
;Afeitadora rotativa philips s5050/04 sec/hum comfortcut 30m/8h trimmer 100-240v;605000;1;0;;;;;EDPCPAS505004-RT;;PHILIPS;;;;13,50;13,50;13,50;0,45;0;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPAS505004-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:13,5  CM&Alto:19  CM&Largo:7  CM&Peso:399  GR;;;
;Afeitadora philips qp2521/10 oneblade uso rostro seco humedo 2 acc 240v;275000;1;0;;;;;EDPCAQP252110-RT;;PHILIPS;;;;10,00;10,00;10,00;0,34;0;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCAQP252110-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:10  CM&Alto:18  CM&Largo:7,5  CM&Peso:241  GR;;;
;Afeitadora rotativa philips s5420/04 sec/hum +precision 45m/1h trimmer 100-240v;977000;1;0;;;;;EDPCPAS542004-RT;;PHILIPS;;;;13,50;13,50;13,50;0,45;0;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPAS542004-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:13,5  CM&Alto:19  CM&Largo:7  CM&Peso:404  GR;;;
;Afeitadora philips qp2510/10 oneblade uso rostro seco humedo 2 acc 240v;212000;1;0;;;;;EDPCAQP251010-RT;;PHILIPS;;;;10,00;10,00;10,00;0,31;0;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCAQP251010-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:10  CM&Alto:20,4  CM&Largo:6  CM&Peso:205  GR;;;
;Afeitadora rotativa philips hq6944/16 sec closecut cable c/cortapatilla 100-240v;282000;1;0;;;;;EDPCPAHQ694416-RT;;PHILIPS;;;;0,00;0,00;0,00;0,00;0;;;;;;;;;;;;;;;;;;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&;;;
;Afeitadora rotativa philips s7310/12 sec/hum 50m/1h trimmer estuche 100-240v;1326000;1;0;;;;;EDPCPAS731012-RT;;PHILIPS;;;;15,60;15,60;15,60;0,76;0;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPAS731012-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:15,6  CM&Alto:23,1  CM&Largo:8,4  CM&Peso:455  GR;;;
;Afeitadora rotativa philips s9031/13 es/se 50m/1h v-track trimmer funda 100-240v;2015000;1;0;;;;;EDPCPAS903113;;PHILIPS;;;;17,30;17,30;17,30;0,94;0;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPAS903113.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:17,3  CM&Alto:24,6  CM&Largo:8,8  CM&Peso:577  GR;;;
;Afeitadora rotativa pt860/14 dualprecision uso 50min en seco 5.4w 240v;583000;1;0;;;;;EDPCAPT86014-RT;;PHILIPS;;;;13,40;13,40;13,40;0,44;0;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCAPT86014-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:13,4  CM&Alto:18,8  CM&Largo:7  CM&Peso:388  GR;;;
